Resultados 5-Fold
label            precision               recall                  f1-score
O               0.9331                  0.7966                  0.8593
B-MOD           0.841                   0.7199                  0.7756
B-ADD           0.8941                  0.8119                  0.8508
B-SUP           0.8163                  0.7279                  0.7668
I-MOD           0.8572                  0.9667                  0.9087
I-ADD           0.7851                  0.4923                  0.6051
I-SUP           0.8348                  0.6603                  0.7372
E-MOD           0.6868                  0.6396                  0.661
E-ADD           0.718                   0.5426                  0.6159
E-SUP           0.7405                  0.5406                  0.6232

